2025-06-19 00:25:31 | INFO     | root:149 | <module>() | ✅ AIPipe API key configured: eyJhbGci...IyQI
2025-06-19 00:25:31 | INFO     | root:240 | <module>() | ✅ FastAPI application initialized with enhanced middleware
2025-06-19 00:25:31 | INFO     | root:276 | initialize_database() | 🗄️  Initializing database...
2025-06-19 00:25:31 | INFO     | root:285 | initialize_database() | 📂 Using existing database: C:\Users\verma\TDS-Project-1\TDS-Project-1\data\knowledge_base_compressed.db
2025-06-19 00:25:31 | INFO     | root:379 | initialize_database() | 📊 Database statistics:
2025-06-19 00:25:31 | INFO     | root:380 | initialize_database() |    - Discourse chunks: 3651 (0 with embeddings)
2025-06-19 00:25:31 | INFO     | root:381 | initialize_database() |    - Markdown chunks: 380 (0 with embeddings)
2025-06-19 00:25:31 | INFO     | root:382 | initialize_database() | ✅ Database initialization completed
2025-06-19 00:25:31 | INFO     | root:1674 | startup_event() | 🚀 Application startup initiated...
2025-06-19 00:25:31 | INFO     | root:1677 | startup_event() | 🔗 Testing AIPipe connectivity during startup...
2025-06-19 00:25:31 | INFO     | root:442 | test_aipipe_connection() | 🔗 Testing AIPipe connection...
2025-06-19 00:25:33 | INFO     | root:460 | test_aipipe_connection() | ✅ AIPipe connection successful
2025-06-19 00:25:33 | INFO     | root:594 | startup_aipipe_test() | 🔌 AIPipe connection status: connected - AIPipe API is accessible
2025-06-19 00:25:33 | INFO     | root:1685 | startup_event() | 📊 Application startup completed:
2025-06-19 00:25:33 | INFO     | root:1686 | startup_event() |    - Database chunks: discourse=3651, markdown=380
2025-06-19 00:25:33 | INFO     | root:1687 | startup_event() |    - Embeddings: discourse=0, markdown=0
2025-06-19 00:25:33 | INFO     | root:1688 | startup_event() |    - AIPipe status: connected
2025-06-19 00:25:33 | INFO     | root:1689 | startup_event() |    - Configuration: threshold=0.68, max_results=15
2025-06-19 00:25:33 | INFO     | root:1691 | startup_event() | ✅ RAG Knowledge Base API is ready to serve requests!
2025-06-19 01:19:53 | INFO     | root:113 | <module>() | 🚀 Starting RAG Query API application
2025-06-19 01:19:53 | INFO     | root:114 | <module>() | 📁 Project root: C:\Users\verma\TDS-Project-1\TDS-Project-1
2025-06-19 01:19:53 | INFO     | root:115 | <module>() | 📊 Database path: C:\Users\verma\TDS-Project-1\TDS-Project-1\data\knowledge_base_compressed.db
2025-06-19 01:19:53 | INFO     | root:116 | <module>() | 📝 Database exists: True
2025-06-19 01:19:53 | INFO     | root:120 | <module>() | 📂 Data directory: C:\Users\verma\TDS-Project-1\TDS-Project-1\data
2025-06-19 01:19:53 | INFO     | root:122 | <module>() | 📊 Configuration loaded:
